,ds,ds,y,yhat,diff
86,2017-01-26,2017-01-26,11469.0,11091.331930273494,-377.66806972650556
87,2017-01-27,2017-01-27,12345.0,10997.220340862461,-1347.779659137539
88,2017-01-28,2017-01-28,11185.0,9765.408630232756,-1419.591369767244
89,2017-01-29,2017-01-29,10504.0,10148.93909742005,-355.06090257994947
90,2017-01-30,2017-01-30,7476.0,11024.667700253563,3548.6677002535635
91,2017-01-31,2017-01-31,7492.0,10327.430267849752,2835.4302678497515
92,2017-02-01,2017-02-01,11866.0,14143.458734401294,2277.4587344012944
93,2017-02-02,2017-02-02,11119.0,12792.286690982211,1673.2866909822114
94,2017-02-03,2017-02-03,10986.0,12970.471944065781,1984.471944065781
95,2017-02-04,2017-02-04,11907.0,11483.197451694474,-423.8025483055262
96,2017-02-05,2017-02-05,12935.0,12335.937738988032,-599.0622610119681
97,2017-02-06,2017-02-06,23444.0,14646.623037526339,-8797.376962473661
98,2017-02-07,2017-02-07,21723.0,12696.409634919992,-9026.590365080008
99,2017-02-08,2017-02-08,17270.0,15942.970312643398,-1327.0296873566022
100,2017-02-09,2017-02-09,10927.0,14074.309100541597,3147.309100541597
101,2017-02-10,2017-02-10,11865.0,13823.411384235013,1958.4113842350125
102,2017-02-11,2017-02-11,10821.0,12954.437115972263,2133.437115972263
103,2017-02-12,2017-02-12,6844.0,10682.219706129037,3838.219706129037
104,2017-02-13,2017-02-13,6127.0,11998.256227303762,5871.256227303762
105,2017-02-14,2017-02-14,6298.0,10510.98807541922,4212.98807541922
106,2017-02-15,2017-02-15,12387.0,11847.762270584042,-539.2377294159578
107,2017-02-16,2017-02-16,11819.0,10907.454693946192,-911.5453060538075
108,2017-02-17,2017-02-17,11645.0,10671.996631858188,-973.0033681418117
109,2017-02-18,2017-02-18,14240.0,11402.178057843508,-2837.821942156492
110,2017-02-19,2017-02-19,18870.0,12701.694614858776,-6168.305385141224
111,2017-02-20,2017-02-20,12530.0,12017.903555130071,-512.0964448699287
112,2017-02-21,2017-02-21,12689.0,10735.714028619397,-1953.2859713806029
113,2017-02-22,2017-02-22,15202.0,14585.040394632508,-616.9596053674923
114,2017-02-23,2017-02-23,11702.0,12930.22972261045,1228.2297226104492
115,2017-02-24,2017-02-24,11329.0,12478.377716766769,1149.3777167667686
116,2017-02-25,2017-02-25,11321.0,12245.515622081446,924.515622081446
117,2017-02-26,2017-02-26,10991.0,12316.386315862384,1325.3863158623844
118,2017-02-27,2017-02-27,8611.0,11013.578784008858,2402.578784008858
119,2017-02-28,2017-02-28,7413.0,9085.097373540642,1672.0973735406424
