,ds,ds,y,yhat,Local_Venda,diff
88,2017-01-28,2017-01-28,3355.0,2940.9694110365713,Vast,-414.0305889634287
89,2017-01-29,2017-01-29,3289.0,3083.2072685654484,Vast,-205.79273143455157
90,2017-01-30,2017-01-30,2032.0,2949.723506944605,Vast,917.7235069446051
91,2017-01-31,2017-01-31,2175.0,3030.098893836492,Vast,855.0988938364922
92,2017-02-01,2017-02-01,3748.0,4282.023855465395,Vast,534.0238554653952
93,2017-02-02,2017-02-02,3623.0,3726.3988788468473,Vast,103.39887884684731
94,2017-02-03,2017-02-03,3393.0,3640.845879987618,Vast,247.845879987618
95,2017-02-04,2017-02-04,3510.0,3208.956825413333,Vast,-301.0431745866672
96,2017-02-05,2017-02-05,3721.0,3367.5848554653244,Vast,-353.4151445346756
97,2017-02-06,2017-02-06,4767.0,3496.5237036767867,Vast,-1270.4762963232133
98,2017-02-07,2017-02-07,4614.0,3326.773484666638,Vast,-1287.226515333362
99,2017-02-08,2017-02-08,4838.0,4568.8390099690805,Vast,-269.1609900309195
100,2017-02-09,2017-02-09,3363.0,4009.8379354737285,Vast,646.8379354737285
101,2017-02-10,2017-02-10,3653.0,3891.868280580097,Vast,238.86828058009678
102,2017-02-11,2017-02-11,3364.0,3550.809694101376,Vast,186.80969410137595
103,2017-02-12,2017-02-12,1954.0,3028.5439568712445,Vast,1074.5439568712445
104,2017-02-13,2017-02-13,1725.0,2966.9987936108128,Vast,1241.9987936108128
105,2017-02-14,2017-02-14,1975.0,2844.1233202129424,Vast,869.1233202129424
106,2017-02-15,2017-02-15,4023.0,3771.8515376022265,Vast,-251.14846239777353
107,2017-02-16,2017-02-16,3722.0,3429.7964063837344,Vast,-292.2035936162656
108,2017-02-17,2017-02-17,3619.0,3422.759616059796,Vast,-196.24038394020408
109,2017-02-18,2017-02-18,4614.0,3732.905784695729,Vast,-881.0942153042711
110,2017-02-19,2017-02-19,5511.0,3968.4044959789785,Vast,-1542.5955040210215
111,2017-02-20,2017-02-20,3276.0,3400.498906262487,Vast,124.4989062624868
112,2017-02-21,2017-02-21,3727.0,3355.238285357509,Vast,-371.7617146424909
113,2017-02-22,2017-02-22,4830.0,4595.379496202988,Vast,-234.62050379701213
114,2017-02-23,2017-02-23,3624.0,3971.63059270961,Vast,347.63059270961
115,2017-02-24,2017-02-24,3448.0,3780.6122018611313,Vast,332.6122018611313
116,2017-02-25,2017-02-25,3376.0,3760.0582999879557,Vast,384.0582999879557
117,2017-02-26,2017-02-26,3524.0,3770.526953153626,Vast,246.52695315362598
118,2017-02-27,2017-02-27,2428.0,2997.5536101557846,Vast,569.5536101557846
119,2017-02-28,2017-02-28,2234.0,2780.9461490476333,Vast,546.9461490476333
120,2017-03-01,2017-03-01,3472.0,4217.212060168619,Vast,745.2120601686192
121,2017-03-02,2017-03-02,4333.0,3728.444089807413,Vast,-604.5559101925869
122,2017-03-03,2017-03-03,3923.0,3658.0922277136006,Vast,-264.90777228639945
123,2017-03-04,2017-03-04,4076.0,3448.1808425295258,Vast,-627.8191574704742
124,2017-03-05,2017-03-05,3755.0,3315.196955893029,Vast,-439.8030441069709
125,2017-03-06,2017-03-06,2405.0,2608.5466962137407,Vast,203.5466962137407
126,2017-03-07,2017-03-07,2561.0,2311.5199044256033,Vast,-249.48009557439673
127,2017-03-08,2017-03-08,4298.0,4112.2228596848045,Vast,-185.77714031519554
128,2017-03-09,2017-03-09,3957.0,3739.4530367068287,Vast,-217.5469632931713
129,2017-03-10,2017-03-10,3721.0,3578.087438470428,Vast,-142.91256152957203
130,2017-03-11,2017-03-11,3204.0,3616.4751972902295,Vast,412.4751972902295
131,2017-03-12,2017-03-12,3111.0,3524.1185036775596,Vast,413.1185036775596
132,2017-03-13,2017-03-13,2186.0,3094.4917217892253,Vast,908.4917217892253
133,2017-03-14,2017-03-14,2315.0,2560.2274798690696,Vast,245.2274798690696
134,2017-03-15,2017-03-15,3976.0,3816.4705317612575,Vast,-159.52946823874254
135,2017-03-16,2017-03-16,4084.0,3623.1102517922873,Vast,-460.8897482077127
136,2017-03-17,2017-03-17,4078.0,3233.3540536399714,Vast,-844.6459463600286
137,2017-03-18,2017-03-18,3613.0,3189.8681799378737,Vast,-423.1318200621263
138,2017-03-19,2017-03-19,3489.0,3245.672999070268,Vast,-243.3270009297321
139,2017-03-20,2017-03-20,2558.0,2953.2675112646,Vast,395.2675112646002
140,2017-03-21,2017-03-21,2853.0,3309.669809707305,Vast,456.6698097073049
141,2017-03-22,2017-03-22,4343.0,4508.038197506129,Vast,165.0381975061291
142,2017-03-23,2017-03-23,3938.0,3796.5893276038664,Vast,-141.41067239613358
143,2017-03-24,2017-03-24,3206.0,3728.542025078492,Vast,522.5420250784919
144,2017-03-25,2017-03-25,3557.0,3538.131985377331,Vast,-18.868014622668852
145,2017-03-26,2017-03-26,3494.0,3277.127093390385,Vast,-216.8729066096148
146,2017-03-27,2017-03-27,2695.0,2747.3062345797443,Vast,52.30623457974434
147,2017-03-28,2017-03-28,2565.0,2842.8923397952544,Vast,277.89233979525443
148,2017-03-29,2017-03-29,4007.0,3997.1529191680743,Vast,-9.847080831925723
149,2017-03-30,2017-03-30,3666.0,3172.377801295638,Vast,-493.62219870436184
150,2017-03-31,2017-03-31,3499.0,3385.494085939882,Vast,-113.5059140601179
151,2017-04-01,2017-04-01,3546.0,3682.550010101267,Vast,136.55001010126716
152,,2017-04-02,,3880.757307400686,Vast,
153,,2017-04-03,,3692.968874739273,Vast,
154,,2017-04-04,,3834.2238263064964,Vast,
155,,2017-04-05,,5283.3667974966675,Vast,
156,,2017-04-06,,4574.697965022653,Vast,
157,,2017-04-07,,4958.4702153908165,Vast,
158,,2017-04-08,,5558.963569033974,Vast,
159,,2017-04-09,,5430.895821552469,Vast,
160,,2017-04-10,,5054.004225857698,Vast,
161,,2017-04-11,,4923.140485310361,Vast,
162,,2017-04-12,,6009.405697721835,Vast,
163,,2017-04-13,,4958.060094505757,Vast,
164,,2017-04-14,,4234.061704898901,Vast,
165,,2017-04-15,,4256.984038222458,Vast,
166,,2017-04-16,,3857.2339893979956,Vast,
